City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kingston,17.997,-76.7936,30.53,79,20,6.17,JM,1693458323
1,saint clairsville,40.0806,-80.9001,16.29,87,100,2.97,US,1693458323
2,adamstown,-25.066,-130.1015,20.96,84,100,6.72,PN,1693458324
3,port-aux-francais,-49.35,70.2167,3.2,87,95,18.98,TF,1693458324
4,stanley,54.868,-1.6985,7.08,95,84,0.51,GB,1693458324
5,starokostiantyniv,49.7576,27.2034,16.6,91,6,3.4,UA,1693458324
6,al ghayzah,16.2079,52.176,27.58,81,76,4.66,YE,1693458324
7,margaret river,-33.95,115.0667,20.6,53,0,4.19,AU,1693458325
8,franceville,-1.6333,13.5836,21.88,87,26,1.03,GA,1693458325
9,langepas,61.2544,75.2124,18.81,63,100,8.32,RU,1693458325
10,dudinka,69.4058,86.1778,8.68,45,15,7.26,RU,1693458322
11,afaahiti,-17.75,-149.2833,23.93,73,98,5.16,PF,1693458325
12,ust-nera,64.5667,143.2,14.56,88,98,3.82,RU,1693458325
13,yuzhnoural'sk,54.4418,61.2536,8.46,79,93,3.41,RU,1693458326
14,west island,-12.1568,96.8225,27.99,74,40,5.66,CC,1693458326
15,el calafate,-50.3408,-72.2768,-0.52,83,47,0.88,AR,1693458326
16,gorontalo,0.5412,123.0595,31.32,47,67,4.49,ID,1693458326
17,grytviken,-54.2811,-36.5092,-3.44,77,78,1.44,GS,1693458327
18,isafjordur,66.0755,-23.124,10.48,76,99,1.75,IS,1693458327
19,iqaluit,63.7506,-68.5145,3.85,86,75,1.54,CA,1693458327
20,puerto natales,-51.7236,-72.4875,1.84,84,52,4.88,CL,1693458327
21,tazovsky,67.4667,78.7,9.51,53,45,3.3,RU,1693458327
22,yulinshi,38.2906,109.7494,28.39,26,95,2.73,CN,1693458327
23,northam,51.0333,-4.2167,13.14,94,100,4.85,GB,1693458328
24,magdagachi,53.45,125.8,21.51,50,100,3.17,RU,1693458328
25,amta,22.58,88.0083,34.96,46,52,0.74,IN,1693458328
26,edinburgh of the seven seas,-37.0676,-12.3116,11.53,61,20,7.42,SH,1693458328
27,blytheville,35.9273,-89.919,20.12,88,0,2.57,US,1693458056
28,mosjoen,65.836,13.1908,11.06,93,100,1.54,NO,1693458328
29,high rock,26.6208,-78.2833,30.01,78,20,8.56,BS,1693458328
30,waitangi,-43.9535,-176.5597,10.46,85,7,2.24,NZ,1693458328
31,sabang,5.8933,95.3214,28.36,76,100,9.25,ID,1693458328
32,abepura,-2.6333,140.5833,32.45,55,20,4.12,ID,1693458329
33,zaoyang,32.1272,112.7542,31.16,45,0,1.35,CN,1693458329
34,yellowknife,62.456,-114.3525,16.98,88,10,1.79,CA,1693458095
35,gloucester,51.8657,-2.2431,12.62,87,91,1.57,GB,1693458329
36,bethel,41.3712,-73.414,19.31,78,0,2.06,US,1693458329
37,kuanda,56.3161,116.0806,24.44,38,8,1.26,RU,1693458330
38,hithadhoo,-0.6,73.0833,27.47,75,98,2.88,MV,1693458330
39,namibe,-15.1961,12.1522,17.94,93,49,1.54,AO,1693458330
40,kapuskasing,49.4169,-82.4331,13.05,87,75,2.57,CA,1693458330
41,hotan,37.0997,79.9269,28.99,16,0,2.1,CN,1693458331
42,udachny,66.4167,112.4,5.25,93,100,9.15,RU,1693458331
